"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","up_down_width","initial",35,5,5,1.69501880003372,0.9,0.25,0.25,0.25,1.78614439995727,3.85,"exp2",0,0,0,1,1.25,1.25,0,0,0
"p301","up_down_width","initial",36,5,5,2.17965860001277,0.7,0.55,0.35,0.4,1.96378109999932,3.35,"exp2",0,-0.2,0,0.636363636363636,2.75,1.75,-1,-0.363636363636364,0.2
"p301","up_down_width","match",37,3,2,2.398306600051,1.4,0.25,0.2,0.55,2.65314260002924,3.05,"exp2",-1,-0.0499999999999999,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.0499999999999999
"p301","up_down_width","match",38,5,4,3.33817859995179,0.675,0.4,0.35,0.55,1.97064120002324,3.1,"exp2",-1,-0.05,-0.2,0.875,2,1.4,-0.6,-0.125,0.05
"p301","up_down_width","match",39,4,3,2.38445549999597,0.733333333333333,0.25,0.2,0.25,1.45717629999854,2.45,"exp2",-1,-0.05,-0.25,0.8,1,0.6,-0.4,-0.2,0.05
"p301","up_down_width","initial",40,5,5,2.1791138999979,1.1,0.4,0.35,0.2,2.53919059998589,4.8,"exp2",0,-0.05,0,0.875,2,1.75,-0.25,-0.125,0.05
"p301","up_down_width","match",41,5,5,2.79932619997999,0.825,0.25,0.2,0.45,2.2696786999586,3.55,"exp2",0,-0.0499999999999999,0,0.8,1.25,1,-0.25,-0.2,0.0499999999999999
"p301","up_down_width","match",42,3,2,2.47392169997329,1.8,0.55,0.4,0.4,2.11769959999947,4.15,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","initial",43,5,5,1.59444120002445,1.1,0.25,0.2,0.2,2.98628790001385,4.65,"exp2",0,-0.05,0,0.8,1.25,1,-0.25,-0.2,0.05
"p301","up_down_width","match",44,4,3,1.94156930001918,0.783333333333333,0.25,0.2,0.55,3.95922659995267,2.6,"exp2",-1,-0.0499999999999999,-0.25,0.8,1,0.6,-0.4,-0.2,0.0499999999999999
"p301","up_down_width","initial",45,4,3,2.23491070000455,0.9,0.4,0.3,0.4,2.01595289999386,3.1,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
"p301","up_down_width","initial",46,5,5,2.44567230000393,0.7,0.25,0.15,0.4,2.90649660001509,3.05,"exp2",0,-0.0999999999999999,0,0.6,1.25,0.75,-0.5,-0.4,0.0999999999999999
"p301","up_down_width","match",47,3,2,1.61605740000959,1.8,0.4,0.25,0.25,3.19767989998218,4,"exp2",-1,-0.15,-0.333333333333333,0.625,1.2,0.5,-0.7,-0.375,0.15
"p301","up_down_width","match",48,3,2,1.3826362999971,1.8,0.25,0.2,0.3,1.71045340003911,3.85,"exp2",-1,-0.05,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.05
"p301","up_down_width","match",49,4,2,2.28020839998499,0.733333333333333,0.55,0.4,0.45,1.8512470999849,2.75,"exp2",-2,-0.15,-0.5,0.727272727272727,2.2,0.8,-1.4,-0.272727272727273,0.15
"p301","up_down_width","match",50,3,2,1.49135799997021,1.4,0.55,0.45,0.5,1.36633749998873,3.35,"exp2",-1,-0.1,-0.333333333333333,0.818181818181818,1.65,0.9,-0.75,-0.181818181818182,0.1
"p301","up_down_width","initial",51,4,3,2.44911439996213,0.7,0.25,0.3,0.55,2.23830159998033,2.35,"exp2",-1,0.05,-0.25,1.2,1,0.9,-0.0999999999999999,0.2,0.05
"p301","up_down_width","match",52,3,2,1.43704299995443,1.475,0.25,0.25,0.4,2.25962840003194,3.2,"exp2",-1,5.55111512312578e-17,-0.333333333333333,1,0.75,0.5,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","initial",1,5,5,2.10456210002303,0.9,0.4,0.3,0.3,1.7469504000037,4,"exp2",0,-0.1,0,0.75,2,1.5,-0.5,-0.25,0.1
"p301","up_down_width","initial",2,3,2,1.57370560005074,0.7,0.55,0.4,0.3,1.75088210002286,1.95,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","match",3,5,4,1.78599000000395,0.525,0.4,0.35,0.35,1.80953560001217,2.5,"exp2",-1,-0.05,-0.2,0.875,2,1.4,-0.6,-0.125,0.05
"p301","up_down_width","match",4,3,3,1.76630100002512,2.2,0.4,0.35,0.35,1.07042720000027,4.8,"exp2",0,-0.05,0,0.875,1.2,1.05,-0.15,-0.125,0.05
"p301","up_down_width","match",5,3,3,1.71648800000548,1.8,0.25,0.25,0.4,2.30264759995043,3.85,"exp2",0,5.55111512312578e-17,0,1,0.75,0.75,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","initial",6,5,5,2.96540360001381,1.1,0.4,0.3,0.5,2.86178450001171,4.8,"exp2",0,-0.1,0,0.75,2,1.5,-0.5,-0.25,0.1
"p301","up_down_width","match",7,3,2,1.98932669998612,1.4,0.25,0.25,0.4,1.98842089995742,3.05,"exp2",-1,5.55111512312578e-17,-0.333333333333333,1,0.75,0.5,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","match",8,5,5,2.55714930000249,0.825,0.55,0.4,0.35,1.52644600003259,3.85,"exp2",0,-0.15,0,0.727272727272727,2.75,2,-0.75,-0.272727272727273,0.15
"p301","up_down_width","initial",9,5,5,3.11487350001698,0.9,0.25,0.25,0.35,3.05322060000617,3.85,"exp2",0,0,0,1,1.25,1.25,0,0,0
"p301","up_down_width","initial",10,3,2,1.71812730003148,1.1,0.55,0.4,0.55,2.12781480001286,2.75,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","match",11,4,3,1.79918949998682,0.466666666666667,0.25,0.2,0.25,2.51116850000108,1.65,"exp2",-1,-0.05,-0.25,0.8,1,0.6,-0.4,-0.2,0.05
"p301","up_down_width","initial",12,5,3,1.58213799999794,0.9,0.55,0.4,0.25,2.26901599997655,4.15,"exp2",-2,-0.15,-0.4,0.727272727272727,2.75,1.2,-1.55,-0.272727272727273,0.15
"p301","up_down_width","initial",13,4,3,1.51580550003564,0.9,0.4,0.35,0.55,2.23830329999328,3.1,"exp2",-1,-0.05,-0.25,0.875,1.6,1.05,-0.55,-0.125,0.05
